year,rank,city,med_park_size_points,park_pct_city_points,pct_near_park_points,spend_per_resident_points,basketball_points,dogpark_points,playground_points,rec_sr_points,amenities_points,rank_last_time,state
2020,77,Toledo,25.0,14.0,72.0,16.0,41.0,21.0,69.0,26.0,33.2,76,OH
2015,64,Tucson,8.0,1.0,20.0,10.0,3.0,12.0,14.0,8.0,37.0,42,AZ
2016,83,Tucson,9.0,2.0,17.0,9.0,3.0,15.0,7.0,10.0,9.0,64,AZ
2017,85,Tucson,10.0,2.0,17.0,7.0,3.0,15.0,5.0,10.0,8.0,83,AZ
2018,86,Tucson,10.0,2.0,17.0,9.0,14.0,30.0,14.0,20.0,17.0,85,AZ
2019,81,Tucson,27.5,5.0,47.5,22.5,80.0,65.0,47.5,50.0,52.9,86,AZ
2020,84,Tucson,25.0,5.0,44.0,24.0,73.0,55.0,41.0,55.0,50.3,81,AZ
2015,45,Tulsa,19.0,7.0,20.0,4.0,8.0,6.0,11.0,8.0,33.0,40,OK
2016,60,Tulsa,19.0,8.0,16.0,5.0,7.0,5.0,11.0,8.0,8.0,45,OK
2017,59,Tulsa,19.0,7.0,16.0,6.0,6.0,3.0,10.0,7.0,7.0,60,OK
2018,60,Tulsa,19.0,7.0,15.0,12.0,11.0,5.0,17.0,15.0,18.0,59,OK
2019,57,Tulsa,47.5,20.0,40.0,35.0,17.5,10.0,40.0,15.0,37.1,60,OK
2020,55,Tulsa,47.0,16.0,39.0,49.0,13.0,10.0,33.0,23.0,36.0,57,OK
2015,24,Virginia Beach,8.0,16.0,20.0,18.0,14.0,8.0,17.0,3.0,42.0,10,VA
2016,31,Virginia Beach,8.0,17.0,18.0,20.0,13.0,7.0,16.0,4.0,10.0,24,VA
2017,24,Virginia Beach,12.0,16.0,18.0,20.0,11.0,5.0,16.0,3.0,9.0,31,VA
2018,28,Virginia Beach,7.0,17.0,19.0,40.0,21.0,10.0,34.0,7.0,15.0,24,VA
2019,29,Virginia Beach,17.5,40.0,47.5,100.0,47.5,20.0,77.5,18.0,38.8,28,VA
2020,26,Virginia Beach,24.0,46.0,51.0,100.0,44.0,18.0,74.0,17.0,37.2,29,VA
2015,3,"Washington, D.C.",1.0,20.0,40.0,20.0,16.0,20.0,6.0,20.0,62.0,3,DC
2016,3,"Washington, D.C.",1.0,20.0,40.0,20.0,17.0,19.0,6.0,20.0,16.0,3,DC
2017,4,"Washington, D.C.",2.0,20.0,39.0,20.0,14.0,17.0,5.0,20.0,14.0,3,DC
2018,3,"Washington, D.C.",2.0,20.0,39.0,40.0,38.0,37.0,10.0,40.0,30.0,4,DC
2019,1,"Washington, D.C.",5.0,50.0,97.5,100.0,97.5,85.0,25.0,100.0,82.5,3,DC
2020,2,"Washington, D.C.",5.0,50.0,98.0,100.0,100.0,81.0,21.0,100.0,80.3,1,DC
2015,64,Wichita,20.0,3.0,16.0,4.0,2.0,6.0,7.0,6.0,21.0,48,KS
2016,78,Wichita,20.0,4.0,14.0,5.0,2.0,8.0,8.0,5.0,6.0,64,KS
2017,81,Wichita,20.0,4.0,13.0,5.0,2.0,7.0,7.0,5.0,5.0,78,KS
2018,74,Wichita,20.0,5.0,14.0,8.0,1.0,12.0,14.0,11.0,16.0,81,KS
2019,77,Wichita,50.0,10.0,32.5,22.5,2.5,25.0,35.0,28.0,41.3,74,KS
2020,80,Wichita,50.0,11.0,29.0,33.0,1.0,34.0,28.0,24.0,34.0,77,KS
2016,93,Winston-Salem,19.0,4.0,5.0,4.0,3.0,4.0,7.0,18.0,8.0,93,NC
2017,93,Winston-Salem,19.0,4.0,5.0,3.0,3.0,3.0,6.0,18.0,8.0,93,NC
2018,92,Winston-Salem,18.0,4.0,4.0,7.0,3.0,4.0,12.0,36.0,18.0,93,NC
2019,86,Winston-Salem,45.0,10.0,7.5,25.0,7.5,27.5,27.5,90.0,52.5,92,NC
2020,82,Winston-Salem,43.0,11.0,4.0,41.0,5.0,44.0,22.0,93.0,54.7,86,NC
